,id,lastpage,seed,age,gender,gender[other],colorVision,experiencePacman,experienceAI,experienceAI2[1],experienceAI2[2],experienceAI2[3],experienceAI2[4],experienceAI2[5],experienceAI2[other],outcomeAI[1],randVideoSeed,randnumber,retrospectionClicks2,Intention2,retrospection2[1],retrospection2[2],retrospection2[3],retrospection2[4],retrospection2[5],retrospection2[6],RetrospectionConf2[predictConf1],RetrospectionExpl2,retrospectionClicks3,Intention3,retrospection3[1],retrospection3[2],retrospection3[3],retrospection3[4],retrospection3[5],retrospection3[6],RetrospectionConf3[predictConf1],RetrospectionExpl3,retrospectionClicks1,Intention1,retrospection1[1],retrospection1[2],retrospection1[3],retrospection1[4],retrospection1[5],retrospection1[6],RetrospectionConf1[predictConf1],RetrospectionExpl1,explSatisfaction1[1],explSatisfaction1[2],explSatisfaction1[3],explSatisfaction1[4],explSatisfaction1[5],explSatisfaction1[6],comment1,videoClicks2A,videoClicks2B,trustBool2,trustConfidence2[confidence1],trustExpl2,videoClicks3A,videoClicks3B,trustBool3,trustConfidence3[confidence1],trustExpl3,videoClicks1A,videoClicks1B,trustBool1,trustConfidence1[confidence1],trustExpl1,explSatisfaction2[1],explSatisfaction2[2],explSatisfaction2[3],explSatisfaction2[4],explSatisfaction2[5],explSatisfaction2[6],comment2,bonus,code,interviewtime,demographicsTime,retro2Time,retro3Time,retro1Time,trust2Time,trust3Time,trust1Time,retrospection1Points,retrospection1Goal,retrospection2Points,retrospection2Goal,retrospection3Points,retrospection3Goal,trust1correct,trust2correct,trust3correct
55,152,17,602903627,3.0,2.0,,0.0,1.0,0.0,,,,,,,4.0,9,3,0.0,Eating the power pill,1.0,0.0,1.0,0.0,1.0,0.0,4.0,those were the most relevant ,1.0,eating the power pill very fast,1.0,0.0,0.0,1.0,1.0,0.0,3.0,I am not very confidence ,1.0,eating the power pill,1.0,1.0,1.0,0.0,0.0,0.0,4.0,those were the most relevant ,4.0,4.0,4.0,,4.0,4.0,none ,0.0,0.0,2.0,6.0,according to performance ,0.0,0.0,1.0,5.0,how well they performed ,0.0,0.0,1.0,4.0,according to performance ,4.0,4.0,4.0,,4.0,4.0,none ,40.0,33fa227e,1118.93,36.35,64.37,87.36,119.97,29.18,25.41,24.79,1.0,1.0,1.5,1.0,3.0,1.0,0,0,1
56,153,17,653376958,7.0,2.0,,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0,4.0,5,3,11.0,"He ate a power pill so he could eat the blue ghosts, then headed towards the other power pills, and he moved along the maze staying close to the green pixels",0.0,1.0,1.0,0.0,1.0,0.0,2.0,He seemed to be focused on eating the power pills in order to eat the blue ghosts and he used the green pixels to follow the best route to the power pills and blue ghosts,19.0,"His strategy was to eat a power pill then eat the blue ghosts, and then to eat the normal pills while avoiding the ghosts - he is also moving towards the green pixels",0.0,1.0,1.0,0.0,1.0,0.0,2.0,The power pill was important so he could eat the blue ghosts and then avoid the ghosts when the power wore off,32.0,Pacman is moving moving along with the green pixels and eating the small pills after eating a power pill,0.0,1.0,1.0,0.0,1.0,0.0,2.0,"in part of the video Pacman was only eating the normal pills after eating a power pill, but at one point he seemed to be going after a blue ghost",2.0,2.0,3.0,,2.0,2.0,I would have liked to have been able to watch the videos in a larger screen,2.0,2.0,1.0,6.0,Agent A was eating ghosts and earning points; Agent B seemed to be wandering around aimlessly,2.0,3.0,1.0,4.0,Player A went after the blue ghosts and avoided the other ghosts while Player B turned directly into the path of a ghost that wasn't blue,2.0,2.0,2.0,5.0,Agent B seemed to be going after the power pills and eating the ghosts while Agent A was mostly wandering around and wasn't taking the opportunity to eat the ghosts when they were blue,3.0,2.0,3.0,,3.0,2.0,,30.0,237aa227f,2184.99,82.52,364.02,509.54,397.54,130.83,141.95,135.22,-1.0,1.0,0.0,1.0,0.0,0.0,1,1,1
57,154,17,336862049,4.0,1.0,,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0,4.0,3,3,2.0,The agent is trying to stay as far away as possible from the ghosts,1.0,1.0,0.0,1.0,0.0,0.0,7.0,I was trying to pay attention to the green pixels which indicate where the AI is focused ,1.0,The strategy was to use the blocks in the labyrinth to stay away from the ghosts and to eat the power pills ,1.0,0.0,1.0,1.0,0.0,0.0,5.0,Watching the green pixels to try and deduce the AI's strategy,1.0,To eat as many regular pills as possible,1.0,1.0,0.0,1.0,0.0,0.0,7.0,Paying attention the green pixels,5.0,3.0,2.0,,4.0,4.0,none,1.0,1.0,1.0,5.0,It appeared to me that the Agent inn A was taking in more info,1.0,1.0,2.0,4.0,The Agent in B was paying close attention to the ghosts,1.0,1.0,2.0,5.0,The agent was taking in more info over all,4.0,3.0,2.0,,4.0,5.0,none,40.0,114ca227e,1123.3,61.91,155.14,146.82,68.19,88.9,66.8,60.87,-1.0,0.0,0.0,0.0,1.5,1.0,1,1,0
59,156,17,1807248927,4.0,1.0,,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0,4.0,6,3,3.0,The strategy of the AI agent is to get as much regular and power pills it can so as to eat the ghost.,1.0,1.0,0.0,0.0,1.0,0.0,5.0,"The video provided a good basis for my selection, almost throughout the video Pacman ate the blue ghost.",3.0,The strategy of the AI agent is for Pacman to eat only the regular pills and to stay as far away as possible from the ghost.,1.0,1.0,0.0,0.0,1.0,0.0,6.0,I came to my selection by analyzing the movement of Pacman with regard to the objects I selected. The movement of Pacman followed a certain pattern and direction.,1.0,The strategy of the AI agent is to eat both the normal pills and power pills.,1.0,1.0,1.0,0.0,0.0,0.0,4.0,The video helped give me an insight into how Pacman moved and also the objects it wanted to eat.,5.0,5.0,1.0,,4.0,4.0,The survey was clear and concise.,1.0,1.0,1.0,6.0,Player A  played much better in the game by avoiding the ghost.,1.0,1.0,2.0,6.0,"Player B eats the ghost quite often, therefore using it will earn me more points in the game.",1.0,1.0,2.0,6.0,Player B takes better decisions in terms of movement and carefully avoiding the blue ghosts as well.,4.0,5.0,1.0,,4.0,4.0,,40.0,167ca227f,1612.01,75.14,117.46,229.47,110.74,95.4,70.71,88.47,1.0,1.0,1.5,1.0,1.5,0.0,1,1,0
61,158,17,1822477299,3.0,1.0,,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0,5.0,2,2,1.0,"agent went after regular pills, power pills, and then ghosts to maximize points.",0.0,1.0,1.0,0.0,1.0,0.0,7.0,in the video it showed the agent going after regular pills and then Power pills so it could eat the blue ghosts.,1.0,strategy was staying away from ghosts.  Also eating power pills then eating ghosts.,1.0,0.0,1.0,0.0,1.0,0.0,6.0,seemed to use pacman to stay away from ghosts when they weren't blue.  Then at power pills to turn the ghosts blue and eat them.,1.0,agent went for the power pills first to get the bigger points.,1.0,0.0,1.0,0.0,0.0,0.0,6.0,based on the video the agent used pacman to always go for the power pills,5.0,4.0,1.0,5.0,,,,1.0,1.0,1.0,7.0,B didn't go after the blue ghosts when it at the power pills thus wasting them.,1.0,1.0,1.0,4.0,both utilized the same strategy of eating power pills when near ghosts.  A seemed to have multiple ghosts lined up so it could eat more.,1.0,1.0,2.0,7.0,A wasted power pills by not being anywhere near ghosts when it consumed them.,5.0,5.0,1.0,5.0,,,,50.0,35ba227e,1078.16,47.84,123.61,88.96,110.75,87.45,99.61,70.09,2.0,1.0,0.0,1.0,1.5,0.0,1,1,1
62,159,17,541176760,4.0,2.0,,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3.0,8,3,1.0,"Pacman seemed focus on what was directly in front of him, eating regular pills.",1.0,1.0,0.0,0.0,0.0,0.0,5.0,Each clip showed him focused on what was in front of him,1.0,Pacman was focused on eating the ghosts,1.0,0.0,0.0,1.0,0.0,0.0,5.0,The focus on the green area was on ghosts while having mega pills consumed.,3.0,Pacman seemed more focused on trying to stay away from the ghosts. ,1.0,1.0,0.0,1.0,0.0,0.0,3.0,It was hard to see a strategy but overall it looked like Pacman was trying to avoid the ghosts ,3.0,3.0,4.0,,3.0,4.0,,1.0,1.0,1.0,4.0,Seems to make better progress and die less easy,1.0,1.0,1.0,5.0,A seems better at grabbing pills. B had a lot of weird gaps in the pill consumption.,2.0,1.0,2.0,4.0,I am choosing the more aggressive (I think) player who seems to have better functionality,3.0,3.0,4.0,,3.0,3.0,,50.0,38ea227e,873.1,47.55,89.57,50.28,87.15,51.33,69.56,68.68,-1.0,0.0,0.5,0.0,2.0,1.0,1,1,1
63,160,17,2087412518,4.0,2.0,,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.0,7,2,1.0,The strategy of the AI it to consume the normal pills.  Then if pacman man collides with the blue ghosts pacman will eat them but it is not his sole strategy.,0.0,1.0,0.0,0.0,1.0,0.0,4.0,In the clip pacman doesn't prioritize getting to the power pills nor consuming the blue ghosts.  Pacman only goes after the normal pills and if pacman runs into a blue ghosts then pacman will consume them. ,2.0,The strategy of the AI agent is to go directly to the power pills in order to eat the blue ghosts.  ,0.0,1.0,1.0,0.0,0.0,0.0,5.0,The agent goes directly towards the pills and when the ghosts turn blue pacman eats them.  This enables pacman to continue to find the power pills and eat the rest of the ghosts. ,1.0,"The strategy of the AI is to get the power pills. The AI doesn't go after the ghosts, only the power pills.",0.0,0.0,1.0,0.0,0.0,0.0,6.0,In the clip pacman goes right for the power pills and that is not.  Pacman does not interact with the ghosts or go near them not even when they turn blue. ,4.0,3.0,2.0,3.0,,,,2.0,1.0,1.0,4.0,"In player A, pacman went after the power pills which enabled pacman to receive more points when he consumed the blue ghosts. ",2.0,1.0,2.0,4.0,I felt that player B went after the blue ghosts more.  This would increase the points scored.  Player B also went after the power pills causing the ghosts to turn blue more often.,2.0,1.0,2.0,5.0,"In player B, pacman went after the blue ghosts more.  In my selection, pacman also tried to get the power pills which means pacman would get more points by consuming them. ",4.0,4.0,2.0,4.0,,,,40.0,31ea227f,1065.61,43.29,159.56,200.96,89.73,131.63,94.81,150.31,1.0,1.0,0.5,1.0,-1.0,0.0,1,1,0
64,161,17,1578423006,5.0,1.0,,0.0,4.0,0.0,,,,,,,3.0,6,1,1.0,Agent strategy was to eat power pills and blue ghosts and/or eat normal pills while blue ghosts ran away.,0.0,1.0,1.0,0.0,1.0,0.0,6.0,Most of the clips showed blue ghosts and pacman eating them or normal pills.,1.0,Agent was trying to eat pills and avoid ghosts.,0.0,1.0,0.0,0.0,0.0,0.0,6.0,The agent made no effort to eat power pills and go after blue ghosts.,1.0,This agent appeared to be going after power pills as their strategy.  However the agent seemed to get stuck in corners and easily caught by ghosts.,0.0,0.0,1.0,0.0,1.0,0.0,6.0,Watching the pacman to see what the AI was attempting to accomplish.,4.0,3.0,4.0,3.0,,,"Some of the agents are worse at Pacman than I am, and I'm terrible at the game.",1.0,1.0,1.0,7.0,A was eating pills and attempting to eat ghosts or pills while powered up.  B got stuck in corners and didn't accomplish much.,1.0,1.0,2.0,5.0,B was able to eat more pills and did not get stuck in the maze.,1.0,1.0,2.0,6.0,B ate more pills and did not go back and forth doing nothing as much as Agent A.,4.0,3.0,2.0,4.0,,,Not at this time.,30.0,192da227f,1099.46,50.06,101.05,106.71,172.6,99.05,133.97,76.05,0.0,1.0,0.0,1.0,-0.5,0.0,1,1,0
65,162,17,852621363,4.0,1.0,,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0,5.0,8,4,3.0,The AI is eating power pills and ghosts,1.0,0.0,1.0,0.0,1.0,0.0,7.0,Most of the green pixels (relevant) are around pac man and the blue ghosts. Power pills come into play because Pac Man eats two ghosts.,2.0,Pac Man is collecting normal pills,1.0,1.0,0.0,0.0,0.0,0.0,7.0,The green is around Pac Man and the normal pills and Pac Man gets confused and glitches out a bit when there are no pills immediately around him.,1.0,Pac man is going to eat power pills,1.0,0.0,1.0,0.0,0.0,0.0,6.0,Most of the green activity is power pills and pac man - he is eating power pills,5.0,5.0,2.0,,5.0,5.0,"This was a lot of fun, I am a big pac man fan from my childhood, was cool to see the 2600 version of Ms Pac Man in this. I know it's irrelevant, but that was 100% Ms. Pac Man. :-)",1.0,1.0,1.0,7.0,"Agent A is actively chasing ghosts, Agent B is getting confused in the corners after eating power pills",1.0,1.0,1.0,7.0,"Player A is focusing on the ghosts while player B seems to be focusing on the walls, and dies at the end.",1.0,1.0,2.0,7.0,Player B is searching for power pills and ghosts -- will get a higher score,5.0,5.0,2.0,,5.0,5.0,,50.0,130ba227f,742.69,84.22,110.81,55.61,59.43,59.67,59.49,101.58,2.0,1.0,1.5,1.0,0.5,0.0,1,1,1
66,163,17,1048448609,7.0,2.0,,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3.0,8,1,1.0,To eat the pills and avoid ghosts.,0.0,1.0,0.0,1.0,1.0,0.0,4.0,Pac man was avoiding the ghosts.,1.0,To go after and eat the ghosts & cherries.,0.0,0.0,0.0,1.0,1.0,1.0,5.0,Pac man was chasing down the ghosts and cherries.,2.0,To eat the small pills quickly.,0.0,1.0,0.0,0.0,0.0,0.0,5.0,The amount of pills eaten quickly.,5.0,5.0,1.0,5.0,,,Fun to play Pac Man,1.0,1.0,1.0,3.0,The players were close in performance.,1.0,1.0,1.0,7.0,Pacman was going after the higher points,1.0,1.0,2.0,6.0,Pacman was more aggressive in going after points.,5.0,5.0,1.0,5.0,,,Fun,40.0,46ba227f,1208.03,88.18,130.23,98.74,178.23,100.29,114.67,80.78,-1.0,0.0,0.0,1.0,1.5,1.0,1,1,1
67,164,17,367396291,4.0,1.0,,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,4.0,10,3,-1.0,"it seems to be looking right in front of itself and also looking at some of the larger corner obstacles and side exits, maybe as escape strategies.",1.0,0.0,0.0,1.0,0.0,0.0,6.0,because that seems to be all it's really looking at other than walls/objects and the other objects aren't on screen,-1.0,"to get away from the ghost near it and move to another corner, possibly lower left",0.0,1.0,0.0,1.0,0.0,0.0,4.0,this one doesn't seem too complex and again there seems to be some attention paid to things not on the list (walls/objects),-1.0,"this image doesn't seem to have any ""hotspots"" so i have no idea.",1.0,0.0,0.0,0.0,0.0,0.0,1.0,there are no highlights/hotspots on this image,3.0,2.0,3.0,,2.0,4.0,,3.0,3.0,2.0,6.0,"pacman a immediately gets eaten, so it's hard to judge.",1.0,1.0,1.0,5.0,pacman a isn't in imminent danger of being eaten.,1.0,1.0,1.0,5.0,player a seems to move around the board better,4.0,3.0,3.0,,3.0,2.0,,20.0,225aa227f,861.83,36.16,162.95,230.01,69.62,61.14,40.78,50.95,1.0,0.0,0.5,0.0,0.5,1.0,0,0,1
68,165,17,222246938,4.0,2.0,,0.0,2.0,0.0,,,,,,,5.0,2,3,1.0,"AT FINALLY, THE PACMAN TAKE THE POWER PILL AND THE GHOSTS ARE TURNED INTO BLUE. HENCE,IN LAST AI AGENT MAY BE ATE AL THE PILLS BEFORE THE GHOSTS CATCH IT",1.0,0.0,1.0,0.0,1.0,0.0,5.0,"PACMAN NEED TO TAKE MORE NUMBER OF PILLS AT LAST.SO,THE PACMAN NEED POWER PILLS TO COMPLETE THE TASK",3.0,"IN THIS, THE AI AGENT SHOWS THAT A PACMAN EATS ALL THE PILLS AND ALSO THE POWER PILLS ARE THERE IN THIS STRATEGY.AT ONE SCENARIO,THE BLUE GHOSTS ARE PRESENT AND THE PACMAN EATS THE PILL QUICKLY",1.0,0.0,1.0,0.0,1.0,0.0,6.0,"IN THIS SCENARIO, MORE NUMBER OF PILLS ARE PRESENT. SO, PACMAN NEEDS TO TAKE ALL THE PILLS AND THE GHOSTS WERE ALSO NEARER TO THE PACMAN ",2.0,THIS AI AGENT CAN COMPLETE THIS TASK SUCCESSFULLY ,1.0,0.0,1.0,0.0,0.0,1.0,6.0,"BEFORE THE LAST STRATEGY, CHERRY WAS THERE IN THAT SCENARIO.UT PACMAN CAN NOT CATCH THAT. SO, IT NEEDS ANOTHER CHERRY TO INCREASING THE POINTS",3.0,4.0,4.0,,4.0,3.0,,1.0,1.0,1.0,5.0,PACMAN PLAYER A ALREADY TAKE ANY NUMBER OF PILLS. HENCE THE NUMBER OF PILLS NEED TO BE ATE ONLY LOW QUANTITY OF PILLS ,1.0,1.0,2.0,5.0,PACMAN PLAYER B HAD MANY NUMBER OF CHANCES TO ATE ALL THE PILLS,1.0,3.0,2.0,6.0,"PLAYER B TAKES MORE NUMBER OF PILLS. SO,NUMBER OF PILLS NEED ED TO TAKE WAS LOW",3.0,4.0,4.0,,3.0,4.0,,30.0,218aa2280,2063.3,193.73,299.98,451.15,268.65,215.43,135.56,126.13,1.0,1.0,1.5,1.0,1.5,0.0,1,1,0
69,166,17,683399566,5.0,1.0,,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.0,6,3,1.0,"IT appears the AI actively went after blue ghosts after eating a power pill, but then the AI appeared to be more concerned with the walls.",1.0,0.0,1.0,0.0,1.0,0.0,2.0,"I watched the video. this constant requirement to justify my selections is increasingly irritating and just makes me want to quit. The AI sucks at this game and so far none of these scenarios make any sense at all.
",1.0,At first it appeared as if the AI was simply trying to clear dots. but at the end it just sporadically moved right/left for no reason whatsoever.,1.0,1.0,0.0,0.0,1.0,0.0,2.0,"Again, this AI doesn't appear to have an actual strategy. It ate a blue ghost once, and then just moved right/left for no reason.",1.0,"IT doesn't appear to be using any strategy. at the beginning it simply sat in one place until killed. in the follow-ups it didn't appear to do anything but move randomly.
",1.0,1.0,0.0,0.0,0.0,0.0,2.0,"since the AI appeared to not be using any strategy whatsoever, I simply chose the 2 most important things. MS pacman and the regular dots",1.0,1.0,5.0,,2.0,2.0,"YES. This isn't PACMAN, it's MS. PACMAN and it's the crappy console version. ",1.0,2.0,1.0,7.0,Agent B just sits in one spot and lets a ghost kill them.,1.0,1.0,2.0,7.0,Agent A did the sporadic right/left nonsense for no reason at all. it also appeared to just stop for no reason and make random course changes.,1.0,2.0,2.0,7.0,the player A video is the exact same as the player B video from the previous question. ,2.0,3.0,5.0,,4.0,2.0,MS. PACMAN,30.0,226da2281,2743.95,49.26,159.91,143.2,153.91,558.23,112.87,473.48,0.0,0.0,1.5,1.0,1.5,0.0,1,1,0
70,167,17,1767874510,3.0,1.0,,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.0,7,2,1.0,The AI seemed to focus on eat ghosts but also clearing the stage.,0.0,1.0,1.0,0.0,1.0,0.0,7.0,The AI clear much of the stage and also ate ghosts. It died once so it wasnt too concerned about that.,1.0,The AI wanted to eat as many ghosts as it could.,1.0,0.0,1.0,0.0,1.0,0.0,5.0,The pacman ate a lot of ghosts during the video.,2.0,The strategy of the AI agent was to eat the power pill and then immediately turn around. It did not appear to move anywhere else after than.,1.0,1.0,1.0,0.0,0.0,0.0,6.0,Those were the only three objects the AI agent interacted with.,3.0,3.0,2.0,4.0,,,none,1.0,1.0,1.0,7.0,This agent cleared much more of the stage and went after the ghosts better after eating the power pills.,1.0,1.0,1.0,6.0,I didnt see this agent die and the agent ate alot of ghost. They also cleared the about the same amount of the stage.,1.0,1.0,2.0,7.0,This AI was more aggressive at eating ghosts. It know what to do after eating the power pills.,5.0,4.0,4.0,3.0,,,none,50.0,49aa2281,1923.0,48.36,1003.24,89.24,157.84,77.65,269.74,118.66,1.0,1.0,0.0,1.0,1.5,0.0,1,1,1
71,168,17,1715131218,4.0,2.0,,0.0,4.0,0.0,,,,,,,3.0,9,4,2.0,"Looking at the heatmap, this agent is trying to conquer the whole board and is really focused on hunting down ghosts.  Its strategy seems to be to collect power pills and then hunt ghosts so it can gather up regular pills from the center of the board while the ghosts are regenerating. ",0.0,1.0,1.0,0.0,1.0,0.0,3.0,I am less confident on this one because the heatmap could indicate another explanation. I probably would have to see more clips to be sure.,2.0,It focuses on the space in front of it and the over-arching strategy seems to be to collect regular pills and power pills from the corners first and then later collect from the center around the ghost regeneration square. It seems to minimize contact with ghosts unless it has eaten a power pill.,1.0,0.0,1.0,0.0,1.0,0.0,4.0,I watched the video and in my mind it is a half way decent explanation of the behavior. ,1.0,This agent seems to be focusing on the outsides of the board and the corners. It eats the power pills but does not seem to go after the vulnerable ghosts. It is focusing less on the regular pills and seems to be zeroing on power pills. ,1.0,0.0,1.0,0.0,0.0,0.0,4.0,The video clips seem to support my explanation. The regular pills seem to only be collected because they are in the pacman's path as the agent zeroes in on the power pills.,4.0,3.0,3.0,,4.0,4.0,Fun study.,1.0,1.0,1.0,5.0,"Player B, according to the heat map, is primarily focused on the space right in front of it. It has tunnel vision. A is playing more of the board, which seems to mean that it will collect more points and brutalize ghosts.",1.0,1.0,1.0,3.0,"It is hard to tell just from the videos. It appears player A has collected more power pills, which have a higher point value. I think there has also been more ghost gormandizing on the part of agent A too. ",1.0,1.0,2.0,3.0,"Again, it is hard to draw too many conclusions just from the clips, but it appears B has more of a whole board strategy and isn't afraid to torture the ghosts. A seems to be more conservative. ",4.0,3.0,3.0,,4.0,4.0,,40.0,147ca2281,1811.61,62.28,203.7,345.18,234.5,121.7,168.8,178.41,2.0,1.0,0.0,1.0,1.5,0.0,1,1,1
72,169,17,1178614946,4.0,1.0,,0.0,4.0,0.0,,,,,,,3.0,6,4,1.0,It seemed that the AI's strategy was to focus on getting power pills to turn the ghosts and get additional points by eating the ghosts. The pacman ate the normal pills on route to these pursuits.,0.0,0.0,1.0,0.0,1.0,0.0,5.0,I saw the pacman attempt to move towards ghosts as much as possible. It seem like the AI player was attempting to set up a situation where the pacman could eat a power pill and quickly eat a ghost for maximum points.,1.0,The strategy appear to avoid ghosts as much as possible until it becomes clear of the direction of the ghosts and if a power pill is nearby. The AI then makes a decision to quickly move towards a power pill to be able to consumer it and a ghost quickly.,1.0,0.0,1.0,0.0,1.0,0.0,3.0,There were several instances where the pacman seemed to idle while waiting for an opportunity. Upon finding a power pill the pacman quickly moved to consume ghosts.,1.0,I believe the strategy was to avoid ghosts while changing direction if a power up pill appeared to get more points. ,0.0,0.0,1.0,0.0,0.0,0.0,5.0,After reviewing the video it seemed that the pacman changed direction to get the power pill frequently,3.0,3.0,4.0,,4.0,4.0,,1.0,1.0,1.0,5.0,I see player A attempting to stay near ghosts or quickly move towards them in the event of a power pill.,1.0,1.0,2.0,4.0,Player A seemed to spend more time idling while searching for opportunities than B that seemed to go right after power pills and ghosts,1.0,1.0,1.0,3.0,These two players seemed somewhat equally matched buy play A seemed to have taken better advantage of opportunities.,3.0,3.0,4.0,,3.0,4.0,,10.0,254aa2280,1101.14,58.6,134.46,129.07,102.77,155.65,83.68,60.61,1.0,1.0,0.5,1.0,1.5,0.0,0,1,0
73,171,17,978303634,6.0,2.0,,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0,5.0,1,4,2.0,Trys to eat as many power pills and ghosts as possible.,0.0,0.0,1.0,0.0,1.0,0.0,5.0,It appeared to me he was eating as many power pills as he could because the ghosts were usually blue.,1.0,Looks like he was trying to eat as many ghosts as possible.,0.0,0.0,1.0,0.0,1.0,0.0,5.0,The ghosts were blue most of the time.,1.0,Tried to stay away from the ghosts and eat as many dots as possible.,0.0,1.0,0.0,0.0,0.0,0.0,4.0,It appeared to me he was avoiding the ghosts.,4.0,3.0,3.0,,3.0,1.0,none,1.0,1.0,1.0,6.0,Agent A appeared to be collecting more points.,1.0,1.0,2.0,6.0,Agent B appeared more successful to me.,1.0,1.0,2.0,4.0,Appeared to be getting more points.,3.0,1.0,3.0,,1.0,1.0,none,20.0,159ba2280,1142.44,70.98,141.71,64.38,85.32,79.56,90.06,64.14,-1.0,0.0,0.5,1.0,0.5,0.0,1,1,0
74,172,17,1301809332,2.0,1.0,,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0,5.0,3,1,1.0,The agent was pursuing actively the power pills to be able to obtain a higher score.,0.0,1.0,1.0,0.0,1.0,0.0,7.0,The ghosts were blue in most of the clips.,3.0,Avoid the ghosts mainly.,0.0,0.0,0.0,1.0,1.0,0.0,5.0,Because the agent was not interested in pursuing the pills instead he just played it safe.,1.0,The agent was trying to obtaining as many pills as possible. ,1.0,1.0,0.0,0.0,0.0,0.0,6.0,The purpose of the agent was to get the most points.,4.0,5.0,2.0,4.0,,,,2.0,2.0,2.0,6.0,The agent is trying style is most likely to get a higher score.,1.0,2.0,2.0,7.0,"The amount of pills consumed, including power pills were high so I can assume the strategy is pretty good.",1.0,1.0,1.0,7.0,The style of this agent is more agressive and it will result in a better score.,4.0,5.0,3.0,4.0,,,,20.0,197ea2281,977.33,56.76,90.99,158.96,96.5,127.71,73.8,60.46,0.0,0.0,0.0,1.0,2.0,1.0,0,0,0
75,173,17,658809771,5.0,2.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.0,9,1,1.0,"It looked like the AI agent's strategy was to avoid the ghosts while eating as many ""pills"" that it could.",0.0,1.0,0.0,1.0,0.0,0.0,5.0,The normal pills and the ghosts seemed like the only objects that the AI agent as using for its strategy since I didn't see anything else be shown or used.,1.0,"It looked like the AI agent's strategy was to eat as many regular pills, avoid the ghosts but also eat the power pills so it could eat the ghosts.",0.0,1.0,1.0,0.0,1.0,0.0,5.0,I decided this based on how the AI agent behaved. It moved around the board eating the regular pill but also tried to eat the power pills so that it could eat the ghosts.,1.0,This AI agent's strategy was to stay in one place and not move. It would occasionally move forward and eat a few regular pills but avoidance seemed to be the main strategy.,1.0,1.0,0.0,0.0,0.0,0.0,6.0,I chose these objects based on the fact that PacMan stayed in one place rather than moving around. I did choose the regular pills because it looked like a small amount of effort to eat those pills were shown but nothing else.,4.0,3.0,2.0,4.0,,,"No, I don't have any additional comments.",1.0,1.0,1.0,6.0,I preferred Player A because they moved around the board more confidently. Player B stayed in one spot a lot of time. They also kept going back and forth. ,1.0,1.0,1.0,5.0,Player A appeared to more confident moving around the board. Player B seemed indecisive and appeared confused some of the time about where to go. ,1.0,1.0,2.0,7.0,Player B performed much better because it moved freely and confidently around the board. It ate power pills because you could see the ghosts were blue. Player A kept sitting in one spot and was eaten by a ghost.,4.0,4.0,2.0,5.0,,,"By comparing the two videos, I felt it was easier to judge which AI agent performed better.",40.0,203ea2281,1692.02,99.11,265.64,201.79,235.18,127.83,139.52,132.64,0.0,0.0,-1.0,0.0,0.0,0.0,1,1,1
76,174,17,693097930,2.0,1.0,,0.0,4.0,0.0,,,,,,,3.0,2,4,5.0,"The agent makes a balance of picking up pills, while also eating ghosts.",0.0,1.0,1.0,0.0,1.0,0.0,1.0,I came to this selection the same way as the above response on this page.,17.0,"This agent focuses on power pills and eating normal pills, while also eating a little. All-around. Jack of all trades.",0.0,1.0,1.0,0.0,1.0,0.0,1.0,My explanation is stated above.,21.0,The strategy was sticking to the walls and grabbing all the stuff.,1.0,1.0,1.0,0.0,0.0,0.0,1.0,"The ""Agent"" decided to make sure that it was always picking up normal pills, and eating power pills in the video.",3.0,5.0,3.0,,5.0,5.0,"Have a good day, survey maker/research team.",2.0,2.0,1.0,4.0,"Agent B kept deciding to turn around, as if second guessing himself/herself/robot/etc.

I liked Agent A.",4.0,1.0,1.0,1.0,"I just liked agent one better.

That is all.",1.0,1.0,2.0,1.0,I liked the way the second agent played.,3.0,5.0,3.0,,5.0,5.0,"Have a good day, survey maker/research team.",40.0,167fa2282,1695.24,73.65,154.7,228.03,386.04,159.45,109.97,78.69,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1
